rank,trend,streams,track_id
1,SAME_POSITION,6355.0,3Wrjm47oTz2sjIgck11l5e
2,MOVE_UP,5855.0,5PjdY0CKGZdEuoNab3yDmX
3,MOVE_DOWN,5301.0,4pt5fDVTg5GhEvEtlz9dKk
4,MOVE_UP,5093.0,4RVwu0g32PAqgUiJoXsdF8
5,MOVE_UP,5060.0,27NovPIUIRrOZoCHxABJwK
6,MOVE_DOWN,4546.0,6PQ88X9TkUIAUIZJHW2upE
7,MOVE_UP,3992.0,4ZtFanR9U6ndgddUvNcjcG
8,MOVE_DOWN,3923.0,6OufwUcCqo81guU2jAlDVP
9,SAME_POSITION,3376.0,02MWAaffLxlfxAUY7c5dvx
10,MOVE_UP,3317.0,3DarAbFujv6eYNliUTyqtz
11,MOVE_UP,3282.0,67BtfxlNbhBmCDR2L2l8qd
12,MOVE_DOWN,3152.0,776AftMmFFAWUIEAb3lHhw
13,MOVE_UP,2946.0,0sZ3fmbfUS5tMVzhXLXXPE
14,MOVE_DOWN,2789.0,4cG7HUWYHBV6R6tHn1gxrl
15,MOVE_UP,2640.0,3Vi5XqYrmQgOYBajMWSvCi
16,MOVE_UP,2586.0,38GBNKZUhfBkk3oNlWzRYd
17,MOVE_UP,2546.0,7EkWXAI1wn8Ii883ecd9xr
18,MOVE_DOWN,2515.0,5nujrmhLynf4yMoMtj8AQF
19,MOVE_UP,2382.0,5lAnYvAIkSDNXqfo7DyFUm
20,MOVE_DOWN,2335.0,4XvcHTUfIlWfyJTRG0aqlo
21,MOVE_DOWN,2177.0,0BGwAKW4u8kWOhWFflZxfl
22,SAME_POSITION,2146.0,4t2OeILB07eMGTXSUbMPEu
23,SAME_POSITION,2139.0,1GTyZID5IGOXOAUoQkVlWo
24,MOVE_UP,2067.0,2QjOHCTQ1Jl3zawyYOpxh6
25,MOVE_DOWN,1963.0,2KnuaZYoGzDoHiBTNYOTXG
26,MOVE_UP,1901.0,0nqWnlvSpyqbk2Xp9mncVL
27,MOVE_UP,1894.0,4191RXFPa7Ge9XkA4cWlna
28,MOVE_DOWN,1884.0,37BZB0z9T8Xu7U3e65qxFy
29,MOVE_UP,1823.0,042Sl6Mn83JHyLEqdK7uI0
30,MOVE_DOWN,1788.0,4HOryCnbme0zBnF8LWij3f
31,MOVE_DOWN,1771.0,6f3Slt0GbA2bPZlz0aIFXN
32,MOVE_UP,1764.0,4iJyoBOLtHqaGxP12qzhQI
33,MOVE_DOWN,1755.0,7bcy34fBT2ap1L4bfPsl9q
34,MOVE_DOWN,1702.0,0VjIjW4GlUZAMYd2vXMi3b
35,MOVE_DOWN,1692.0,2CyGcy1HPxcFfmeUxKnAoe
36,MOVE_UP,1676.0,7nc7mlSdWYeFom84zZ8Wr8
37,MOVE_UP,1625.0,6HU7h9RYOaPRFeh0R3UeAr
38,MOVE_DOWN,1621.0,40uMIn2zJLAQhNXghRjBed
39,MOVE_DOWN,1579.0,5YaskwnGDZFDRipaqzbwQx
40,MOVE_DOWN,1579.0,4ak9GGe6afmi2HbxEjvhIC
41,MOVE_UP,1575.0,6Uj1ctrBOjOas8xZXGqKk4
42,MOVE_DOWN,1545.0,20R4HfKloPKgXDqU7UKk3x
43,MOVE_DOWN,1531.0,0FfqyjhB6Kspvit1oOo7ax
44,MOVE_UP,1482.0,0k4d5YPDr1r7FX77VdqWez
