rank,trend,streams,track_id
1,SAME_POSITION,25437.0,2G7V7zsVDxg1yRsu7Ew9RJ
2,SAME_POSITION,22910.0,3V8UKqhEK5zBkBb6d6ub8i
3,SAME_POSITION,22306.0,1s2B5cndbqK8rPJEIcKJRQ
4,SAME_POSITION,17681.0,5qFeMRz4TvetPmzjre9Dq7
5,SAME_POSITION,17111.0,0VKkyBKCXyR99navhVRqcP
6,MOVE_UP,15400.0,6752EZMgXswvRBH3N2PilO
7,MOVE_UP,15185.0,58q2HKrzhC3ozto2nDdN4z
8,MOVE_DOWN,15158.0,2ijef6ni2amuunRoKTlgww
9,SAME_POSITION,14791.0,7nD2JPaxIKUdxd2UWgnaGL
10,SAME_POSITION,13944.0,2RVrdr062uLFxXwIxwdXPH
11,SAME_POSITION,13542.0,6jA8JUuPCGYjFcgw0AoM5T
12,MOVE_UP,12915.0,0r9d60ZYPAlFHq8qnUtkXN
13,MOVE_DOWN,12811.0,3TnhQSRwT3AVMdXw5JPq0x
14,SAME_POSITION,12036.0,6rbhaJsE4uLzpPf8WYSHDK
15,SAME_POSITION,11855.0,1DRJZUVcs6i6TkdNUXAi6m
16,MOVE_UP,10758.0,5Y9fnynLlIvqtM710MHzfz
17,MOVE_DOWN,10649.0,6JjPBQfI2Y8nIjnm65X6Pw
18,SAME_POSITION,10090.0,7fa9MBXhVfQ8P8Df9OEbD8
19,SAME_POSITION,9991.0,2r77vqSZkOktTSgmAOoHsV
20,MOVE_UP,9830.0,2alIsNw1mqEShbWyO1HXZZ
21,MOVE_DOWN,9691.0,7DrluKkTviBwCc8AV3VGmf
22,SAME_POSITION,9447.0,2E124GmJRnBJuXbTb4cPUB
23,SAME_POSITION,9413.0,3IPJg1sdqLj12kFIndaonN
24,MOVE_UP,9216.0,39N9RPD9MRb5WmoLzNzPeA
25,MOVE_DOWN,9149.0,6DCZcSspjsKoFjzjrWoCdn
26,MOVE_UP,8721.0,3ee8Jmje8o58CHK66QrVC2
27,SAME_POSITION,8663.0,1j6xOGusnyXq3l6IryKF3G
28,MOVE_DOWN,8609.0,7ef4DlsgrMEH11cDZd32M6
29,SAME_POSITION,8242.0,0XMwu1IYGyEr0VBZgctUv9
30,SAME_POSITION,8131.0,2m2ZGfJcs3lHWNPzhWH3XH
31,MOVE_UP,7716.0,7gkWXbAxIYuvtOpcN3p9GJ
32,MOVE_UP,7657.0,1m69ELEgE6k5ZWsap40ozt
33,MOVE_DOWN,7624.0,6U2NuJILEOEpW2tVCuqKHb
34,MOVE_UP,7580.0,3RD0PGolM0mETGHaprwgMn
35,SAME_POSITION,7489.0,7rwX0O3RlxqqIjQM8evm5E
36,MOVE_DOWN,7410.0,5IaHrVsrferBYDm0bDyABy
37,SAME_POSITION,7191.0,4QtiVmuA88tPQiCOHZuQ5b
38,MOVE_DOWN,7169.0,5WvAo7DNuPRmk4APhdPzi8
39,MOVE_DOWN,7161.0,2CRbiMK0W14l71SpDKqKZM
40,MOVE_DOWN,7006.0,41Q5dO5UhYF7ufAZ9wbWHa
41,SAME_POSITION,6948.0,6VrBWh90BiwWmwKtvwWFcq
42,MOVE_DOWN,6908.0,2EzRdhuoPyNJDlep7lnNf2
43,MOVE_UP,6795.0,7qiZfU4dY1lWllzX7mPBI3
44,MOVE_UP,6671.0,1lXQskY1Op1KzFG4GVcVpe
45,MOVE_DOWN,6541.0,38QmUDpkoYlNbMKvpvAsrE
46,SAME_POSITION,6360.0,4WzsycqZkpkS48H9AAAGux
47,MOVE_UP,6340.0,7m9OqQk4RVRkw9JJdeAw96
48,MOVE_UP,6156.0,0e7ipj03S05BNilyu5bRzt
49,MOVE_DOWN,6063.0,7sFYVcKSb24qg0dAkqLEFj
50,MOVE_DOWN,6034.0,3xcCix7Jv1Rp90YVmgo35D
51,MOVE_UP,5413.0,7uYgVgRSgqluZclLS7wpp4
52,MOVE_UP,5295.0,00EPIEnX1JFjff8sC6bccd
53,MOVE_DOWN,5261.0,0SaYeGhSXN0dDWstyNTQ56
54,MOVE_DOWN,5255.0,6De0lHrwBfPfrhorm9q1Xl
55,MOVE_UP,5200.0,7ojH6H4wE6XJNgzU4uvNc8
56,MOVE_UP,5155.0,7AFASza1mXqntmGtbxXprO
57,SAME_POSITION,5142.0,0pqnGHJpmpxLKifKRmU6WP
58,MOVE_DOWN,5129.0,0tgVpDi06FyKpA1z0VMD4v
59,MOVE_UP,5101.0,5hcisvFMidkMJlElTO9Qmw
60,MOVE_DOWN,5100.0,2ekn2ttSfGqwhhate0LSR0
61,MOVE_DOWN,5095.0,76cy1WJvNGJTj78UqeA5zr
62,MOVE_DOWN,5002.0,0CYLDwvvpJQySLA5CvqvSl
63,SAME_POSITION,4916.0,2XVilv6s9GETnw9PG4T9Mz
64,MOVE_DOWN,4879.0,0JP9xo3adEtGSdUEISiszL
65,MOVE_UP,4867.0,1Cxd4ZJJ9VOQQpNcpdcZEQ
66,MOVE_UP,4821.0,2AX7TMZg6uZVJCmY4CCoWS
67,MOVE_DOWN,4714.0,5bITfqKGaPakO1l99hOMsI
68,MOVE_DOWN,4696.0,4T0H32wnAJwvgBzYHojZhO
69,MOVE_DOWN,4692.0,6XBjCetHKdO5L9cwMDVffw
70,MOVE_DOWN,4649.0,1KSqYYJFyfTecXFk9M0prc
71,MOVE_UP,4483.0,6J1R5wtPXiHiwiPstOSI56
72,MOVE_UP,4442.0,5SxkdsY1ufZzoq9iXceLw9
73,MOVE_UP,4385.0,0TlLq3lA83rQOYtrqBqSct
74,MOVE_DOWN,4380.0,0s3nnoMeVWz3989MkNQiRf
75,SAME_POSITION,4338.0,2iUXsYOEPhVqEBwsqP70rE
76,MOVE_DOWN,4313.0,6kPJZM97LwdG9QIsT7khp6
77,MOVE_DOWN,4301.0,7lEhOiFtcLXY4P7cuTKuQ8
78,MOVE_UP,4266.0,1mXVgsBdtIVeCLJnSnmtdV
79,MOVE_UP,4250.0,5MNS5FF4LrTX0jIaI0gory
80,MOVE_DOWN,4210.0,4hQ6UGyWQIGJmHSo0J88JW
81,SAME_POSITION,4208.0,0JcNysfWVWaMS7R6vzGB2k
82,MOVE_DOWN,4144.0,1nfyE13arjOuO54HH0zmqj
83,MOVE_UP,4111.0,7dt6x5M1jzdTEt8oCbisTK
84,MOVE_UP,4103.0,4178A5NkEjcsGc64jpBO6d
85,SAME_POSITION,4093.0,3ITvHA9zhZZdBJsOsAUegF
86,MOVE_UP,4085.0,6F9yAYUaNbUhdlQyt5uZ3b
87,MOVE_DOWN,4080.0,63bmZnBN1CiJ9sA4qTEe8y
88,MOVE_DOWN,4003.0,3uwehoqKSQLa5lFFvIX6M3
89,MOVE_UP,3977.0,1rfofaqEpACxVEHIZBJe6W
90,MOVE_DOWN,3967.0,4kWO6O1BUXcZmaxitpVUwp
91,MOVE_UP,3956.0,3CA9pLiwRIGtUBiMjbZmRw
92,MOVE_UP,3887.0,6KuqAtoeVzxAYOaMveLNpH
93,MOVE_DOWN,3877.0,7AQim7LbvFVZJE3O8TYgf2
94,MOVE_UP,3831.0,5EId1m4DNwTf3at31w8bPJ
95,MOVE_UP,3815.0,3swc6WTsr7rl9DqQKQA55C
96,MOVE_UP,3814.0,7MHN1aCFtLXjownGhvEQlF
97,MOVE_UP,3803.0,3QwBODjSEzelZyVjxPOHdq
98,MOVE_DOWN,3802.0,1WbXIpiGBJkCiv3hn40iPB
99,MOVE_DOWN,3789.0,0d2iYfpKoM0QCKvcLCkBao
100,MOVE_DOWN,3743.0,08bNPGLD8AhKpnnERrAc6G
101,SAME_POSITION,3718.0,1Slwb6dOYkBlWal1PGtnNg
102,MOVE_UP,3686.0,5LVoGJTyG6fLJgoGkY2QAZ
103,MOVE_DOWN,3673.0,3rPAD722s5FFNnwjC91t7Z
104,MOVE_DOWN,3670.0,1LBlcCtOrKITXpEp1hnNpj
105,MOVE_UP,3662.0,75JFxkI2RXiU7L9VXzMkle
106,MOVE_DOWN,3614.0,6G8kHiVZ1jW7vHMPVRNZU0
107,MOVE_UP,3577.0,5KgdtjmglXPjJNKvMvSjgo
108,SAME_POSITION,3566.0,1zB4vmk8tFRmM9UULNzbLB
109,MOVE_DOWN,3544.0,3nc420PXjTdBV5TN0gCFkS
110,SAME_POSITION,3522.0,1RvL7eHoeUolnQbWm2Hnba
111,MOVE_UP,3506.0,6eYxmK9fdL4hwLnXG2zY3s
112,MOVE_UP,3474.0,5zSOVwaY3sVjnmLhuEfsuf
113,SAME_POSITION,3472.0,19MBk3PbNFE36wqIqkMq9H
114,MOVE_UP,3439.0,1zi7xx7UVEFkmKfv06H8x0
115,MOVE_UP,3429.0,0woHVOh3KXLSDv8VU9XwZ4
116,MOVE_DOWN,3424.0,3u1S1OmAUhx5DRlLrXqyp3
117,SAME_POSITION,3414.0,4cfoVJxpHqUqTvBrG1RTyi
118,MOVE_UP,3409.0,1uKjQoh8JZj9ryuYRhpd7E
119,MOVE_DOWN,3390.0,2YWgPHZSzjfkh2dPsEuaTm
120,MOVE_UP,3328.0,7tFiyTwD0nx5a1eklYtX2J
121,MOVE_UP,3323.0,3iGjLTDqokSuf6yYI83wzi
122,MOVE_DOWN,3323.0,6RUKPb4LETWmmr3iAEQktW
123,MOVE_UP,3322.0,5cepAtqnEQ6yVG6088zMMu
124,SAME_POSITION,3299.0,2LsbizbOeNa4x6qsi2jAMb
125,MOVE_DOWN,3266.0,48QmG1dfvMuYLxMPt7KSRA
126,MOVE_DOWN,3261.0,0kHyKhJMukHEPfeh8s7rdM
127,MOVE_UP,3260.0,2FrnTVSHjgnEylKGdHRUK1
128,MOVE_UP,3255.0,3S0OXQeoh0w6AY8WQVckRW
129,MOVE_UP,3234.0,7o2CTH4ctstm8TNelqjb51
130,MOVE_UP,3233.0,4DnHUy01jEA4b5ydC3HgsT
131,MOVE_DOWN,3220.0,0CXEPVeQDLgDBfvcsQpXq1
132,MOVE_DOWN,3211.0,1ISamB2lPDAeKb4Js2hLgq
133,MOVE_UP,3210.0,7BwxbmYFy0l3ROHDjV2c14
134,MOVE_DOWN,3113.0,3ebXMykcMXOcLeJ9xZ17XH
135,MOVE_UP,3086.0,3Ga6eKrUFf12ouh9Yw3v2D
136,MOVE_DOWN,3083.0,5ZkPBld8QqfUkS6aJG40yj
137,MOVE_UP,3063.0,6x5LBP3nYXVdIDoomChGr3
138,MOVE_DOWN,3049.0,7GX5flRQZVHRAGd6B4TmDO
139,MOVE_DOWN,3021.0,1juHIWqgFiDFAKuEBP24Lt
140,MOVE_DOWN,3017.0,2hl6q70unbviGo3g1R7uFx
141,MOVE_UP,3016.0,7BKLCZ1jbUBVqRi2FVlTVw
142,MOVE_UP,2977.0,2jyjhRf6DVbMPU5zxagN2h
143,MOVE_DOWN,2960.0,6kOHug1s9Nd5gsHrX8irs2
144,MOVE_DOWN,2942.0,4h8VwCb1MTGoLKueQ1WgbD
145,MOVE_UP,2929.0,6n4U3TlzUGhdSFbUUhTvLP
146,MOVE_DOWN,2918.0,6fxVffaTuwjgEk5h9QyRjy
147,SAME_POSITION,2873.0,2K2YkSn2utzsRntEClbyB8
148,MOVE_UP,2870.0,7JNh1cfm0eXjqFVOzKLyau
149,MOVE_DOWN,2861.0,7COfe3P7KgfwDwIRB8LIDw
150,MOVE_UP,2832.0,2sMxswHr9wX7kTUHULvJBJ
151,MOVE_UP,2806.0,7gHs73wELdeycvS48JfIos
152,MOVE_UP,2804.0,3GVkPk8mqxz0itaAriG1L7
153,MOVE_UP,2798.0,5qqabIl2vWzo9ApSC317sa
154,MOVE_UP,2798.0,71GAvRsilpo9pqd0vYn8Mo
155,SAME_POSITION,2793.0,4qKcDkK6siZ7Jp1Jb4m0aL
156,MOVE_DOWN,2774.0,0ERbK7qVqveCaBWIiYCrl3
157,MOVE_UP,2774.0,5hEM0JchdVzQ5PwvSfITeX
158,MOVE_DOWN,2761.0,4C1Smq2t3MVOPzsUPWW0oX
159,MOVE_UP,2748.0,3uhBIQ7tv8j1FME8cFGEfG
160,MOVE_DOWN,2746.0,7DhYjNLksXZhbRQeheAums
161,MOVE_DOWN,2745.0,5q2JbCNi4FcnglgPfxcV65
162,MOVE_UP,2738.0,0xXhgLXfEHnWJHVgRvFvdn
163,MOVE_DOWN,2737.0,21YnmkSDhUkmkkni22Svc4
164,MOVE_UP,2728.0,2tpWsVSb9UEmDRxAl1zhX1
165,MOVE_UP,2711.0,4l3xGFwoTinvYxsePytOOf
166,MOVE_UP,2688.0,76KDy62J99FKu6ZsxMJy3j
167,MOVE_DOWN,2681.0,6S3yaMAF7jB4GfjXdYLsD0
168,MOVE_UP,2676.0,2Q85xwXagilpHKTfdrbC7M
169,MOVE_DOWN,2674.0,5LciLoxa1gK70yIUeoHgRx
170,MOVE_DOWN,2668.0,3qN5qMTKyEEmiTZD38BNTT
171,MOVE_UP,2651.0,5u5MvmVtitax9R1Mxh3reC
172,MOVE_DOWN,2646.0,09IStsImFySgyp0pIQdqAc
173,MOVE_DOWN,2643.0,31M5m42C3EGlbydf9XB5to
174,MOVE_DOWN,2626.0,7795WJLVKJoAyVoOtCWqXN
175,MOVE_UP,2618.0,3CRDbSIZ4r5MsZ0YwxuEkn
176,MOVE_DOWN,2611.0,0STK94RxUulYqWzwFlyAb5
177,MOVE_DOWN,2609.0,5Nm9ERjJZ5oyfXZTECKmRt
178,MOVE_UP,2607.0,0lTd7gKAWVz1yVKVkQXBPm
179,MOVE_UP,2603.0,49VSioK272TASR4r9vRTuP
180,MOVE_DOWN,2603.0,0KKkJNfGyhkQ5aFogxQAPU
181,MOVE_UP,2601.0,3a1lNhkSLSkpJE4MSHpDu9
182,MOVE_DOWN,2594.0,0u2P5u6lvoDfwTYjAADbn4
183,MOVE_DOWN,2559.0,6bI00brFpeprqCDqKouEJS
184,MOVE_UP,2559.0,4NUt1fcnO9aQAELBgXq3Kr
185,MOVE_DOWN,2543.0,7KXjTSCq5nL1LoYtL7XAwS
186,MOVE_UP,2535.0,6r46lnXFbE9fr2d3KNaGbe
187,MOVE_UP,2499.0,3AEZUABDXNtecAOSC1qTfo
188,SAME_POSITION,2471.0,4zIO3ilp5HvTeK3HJHxhMP
189,MOVE_DOWN,2456.0,5UjhWsB5rddZEPlNUcGDLV
190,MOVE_UP,2451.0,5vdp5UmvTsnMEMESIF2Ym7
191,NEW_ENTRY,2446.0,3AJwUDP919kvQ9QcozQPxg
192,NEW_ENTRY,2444.0,0lTYnxJdC68v0oXd5xolxY
193,MOVE_DOWN,2442.0,60a0Rd6pjrkxjPbaKzXjfq
194,MOVE_UP,2418.0,2rZB6indPhp8C5AZK1PpkS
195,NEW_ENTRY,2410.0,0lYBSQXN6rCTvUZvg9S0lU
196,NEW_ENTRY,2410.0,0c1gHntWjKD7QShC8s99sq
197,MOVE_DOWN,2405.0,1RouRzlg8OKFeqc6LvdxmB
198,NEW_ENTRY,2405.0,2Z8WuEywRWYTKe1NybPQEW
199,MOVE_DOWN,2402.0,1gm616Plq4ScqNi7TVkZ5N
200,MOVE_DOWN,2395.0,6Q4foUefrAyCt8VxJFML56
1,SAME_POSITION,22274.0,2G7V7zsVDxg1yRsu7Ew9RJ
2,SAME_POSITION,22188.0,3V8UKqhEK5zBkBb6d6ub8i
3,SAME_POSITION,20860.0,1s2B5cndbqK8rPJEIcKJRQ
4,SAME_POSITION,16592.0,5qFeMRz4TvetPmzjre9Dq7
5,SAME_POSITION,16008.0,0VKkyBKCXyR99navhVRqcP
6,SAME_POSITION,14893.0,6752EZMgXswvRBH3N2PilO
7,MOVE_UP,14443.0,2ijef6ni2amuunRoKTlgww
8,MOVE_DOWN,14183.0,58q2HKrzhC3ozto2nDdN4z
9,MOVE_UP,12847.0,2RVrdr062uLFxXwIxwdXPH
10,MOVE_DOWN,12815.0,7nD2JPaxIKUdxd2UWgnaGL
11,SAME_POSITION,12527.0,6jA8JUuPCGYjFcgw0AoM5T
12,MOVE_UP,12333.0,3TnhQSRwT3AVMdXw5JPq0x
13,MOVE_DOWN,11903.0,0r9d60ZYPAlFHq8qnUtkXN
14,SAME_POSITION,10843.0,6rbhaJsE4uLzpPf8WYSHDK
15,SAME_POSITION,10826.0,1DRJZUVcs6i6TkdNUXAi6m
16,SAME_POSITION,10204.0,6Vf5qHrEJSkVYgyvYJ6QXs
17,SAME_POSITION,10050.0,6JjPBQfI2Y8nIjnm65X6Pw
18,SAME_POSITION,9357.0,7fa9MBXhVfQ8P8Df9OEbD8
19,MOVE_UP,9312.0,7DrluKkTviBwCc8AV3VGmf
20,SAME_POSITION,9236.0,2alIsNw1mqEShbWyO1HXZZ
21,MOVE_UP,8848.0,39N9RPD9MRb5WmoLzNzPeA
22,MOVE_DOWN,8832.0,2r77vqSZkOktTSgmAOoHsV
23,SAME_POSITION,8599.0,3IPJg1sdqLj12kFIndaonN
24,MOVE_DOWN,8188.0,2E124GmJRnBJuXbTb4cPUB
25,MOVE_UP,8152.0,1j6xOGusnyXq3l6IryKF3G
26,MOVE_DOWN,8083.0,6DCZcSspjsKoFjzjrWoCdn
27,MOVE_UP,7882.0,2m2ZGfJcs3lHWNPzhWH3XH
28,MOVE_UP,7836.0,0XMwu1IYGyEr0VBZgctUv9
29,MOVE_DOWN,7650.0,7ef4DlsgrMEH11cDZd32M6
30,MOVE_UP,7481.0,6U2NuJILEOEpW2tVCuqKHb
31,MOVE_DOWN,7432.0,3ee8Jmje8o58CHK66QrVC2
32,SAME_POSITION,7337.0,1m69ELEgE6k5ZWsap40ozt
33,MOVE_UP,7204.0,7rwX0O3RlxqqIjQM8evm5E
34,SAME_POSITION,6964.0,3RD0PGolM0mETGHaprwgMn
35,MOVE_DOWN,6952.0,7gkWXbAxIYuvtOpcN3p9GJ
36,MOVE_UP,6844.0,41Q5dO5UhYF7ufAZ9wbWHa
37,MOVE_UP,6738.0,2CRbiMK0W14l71SpDKqKZM
38,MOVE_DOWN,6663.0,4QtiVmuA88tPQiCOHZuQ5b
39,MOVE_UP,6566.0,6VrBWh90BiwWmwKtvwWFcq
40,MOVE_UP,6529.0,1lXQskY1Op1KzFG4GVcVpe
41,MOVE_UP,6485.0,38QmUDpkoYlNbMKvpvAsrE
42,MOVE_DOWN,6449.0,5IaHrVsrferBYDm0bDyABy
43,MOVE_DOWN,6367.0,5WvAo7DNuPRmk4APhdPzi8
44,MOVE_DOWN,6347.0,2EzRdhuoPyNJDlep7lnNf2
45,MOVE_DOWN,6307.0,7qiZfU4dY1lWllzX7mPBI3
46,SAME_POSITION,5950.0,4WzsycqZkpkS48H9AAAGux
47,MOVE_UP,5781.0,3xcCix7Jv1Rp90YVmgo35D
48,MOVE_UP,5705.0,7sFYVcKSb24qg0dAkqLEFj
49,MOVE_DOWN,5610.0,7m9OqQk4RVRkw9JJdeAw96
50,MOVE_DOWN,5403.0,0e7ipj03S05BNilyu5bRzt
51,SAME_POSITION,5108.0,7uYgVgRSgqluZclLS7wpp4
52,MOVE_UP,4996.0,6De0lHrwBfPfrhorm9q1Xl
53,MOVE_DOWN,4962.0,00EPIEnX1JFjff8sC6bccd
54,MOVE_DOWN,4957.0,0SaYeGhSXN0dDWstyNTQ56
55,MOVE_UP,4794.0,0pqnGHJpmpxLKifKRmU6WP
56,MOVE_UP,4779.0,5hcisvFMidkMJlElTO9Qmw
57,MOVE_UP,4723.0,2ekn2ttSfGqwhhate0LSR0
58,MOVE_UP,4618.0,0CYLDwvvpJQySLA5CvqvSl
59,MOVE_UP,4599.0,76cy1WJvNGJTj78UqeA5zr
60,MOVE_UP,4579.0,2XVilv6s9GETnw9PG4T9Mz
61,MOVE_DOWN,4570.0,0tgVpDi06FyKpA1z0VMD4v
62,MOVE_DOWN,4529.0,7ojH6H4wE6XJNgzU4uvNc8
63,MOVE_UP,4514.0,1KSqYYJFyfTecXFk9M0prc
64,MOVE_DOWN,4398.0,7AFASza1mXqntmGtbxXprO
65,MOVE_UP,4375.0,5bITfqKGaPakO1l99hOMsI
66,SAME_POSITION,4284.0,2AX7TMZg6uZVJCmY4CCoWS
67,MOVE_DOWN,4275.0,1Cxd4ZJJ9VOQQpNcpdcZEQ
68,MOVE_DOWN,4248.0,0JP9xo3adEtGSdUEISiszL
69,MOVE_UP,4175.0,6J1R5wtPXiHiwiPstOSI56
70,MOVE_UP,4142.0,63bmZnBN1CiJ9sA4qTEe8y
71,MOVE_UP,4128.0,5SxkdsY1ufZzoq9iXceLw9
72,MOVE_DOWN,4111.0,6XBjCetHKdO5L9cwMDVffw
73,MOVE_DOWN,4050.0,4T0H32wnAJwvgBzYHojZhO
74,MOVE_UP,4025.0,0JcNysfWVWaMS7R6vzGB2k
75,MOVE_UP,3960.0,7lEhOiFtcLXY4P7cuTKuQ8
76,MOVE_UP,3931.0,5MNS5FF4LrTX0jIaI0gory
77,MOVE_UP,3917.0,3ITvHA9zhZZdBJsOsAUegF
78,MOVE_DOWN,3912.0,6kPJZM97LwdG9QIsT7khp6
79,MOVE_UP,3876.0,1nfyE13arjOuO54HH0zmqj
80,MOVE_UP,3856.0,6KuqAtoeVzxAYOaMveLNpH
81,MOVE_UP,3795.0,3uwehoqKSQLa5lFFvIX6M3
82,MOVE_UP,3768.0,4178A5NkEjcsGc64jpBO6d
83,MOVE_UP,3748.0,6F9yAYUaNbUhdlQyt5uZ3b
84,MOVE_DOWN,3696.0,4hQ6UGyWQIGJmHSo0J88JW
85,MOVE_DOWN,3690.0,1mXVgsBdtIVeCLJnSnmtdV
86,MOVE_DOWN,3665.0,2iUXsYOEPhVqEBwsqP70rE
87,MOVE_UP,3634.0,5EId1m4DNwTf3at31w8bPJ
88,MOVE_UP,3624.0,08bNPGLD8AhKpnnERrAc6G
89,MOVE_DOWN,3613.0,0s3nnoMeVWz3989MkNQiRf
90,MOVE_UP,3611.0,3QwBODjSEzelZyVjxPOHdq
91,MOVE_DOWN,3545.0,1rfofaqEpACxVEHIZBJe6W
92,MOVE_DOWN,3505.0,7dt6x5M1jzdTEt8oCbisTK
93,MOVE_UP,3504.0,7MHN1aCFtLXjownGhvEQlF
94,MOVE_UP,3459.0,5LVoGJTyG6fLJgoGkY2QAZ
95,MOVE_UP,3456.0,1WbXIpiGBJkCiv3hn40iPB
96,MOVE_DOWN,3452.0,0TlLq3lA83rQOYtrqBqSct
97,MOVE_DOWN,3367.0,7AQim7LbvFVZJE3O8TYgf2
98,MOVE_UP,3359.0,5zSOVwaY3sVjnmLhuEfsuf
99,SAME_POSITION,3347.0,0d2iYfpKoM0QCKvcLCkBao
100,MOVE_UP,3327.0,4cfoVJxpHqUqTvBrG1RTyi
101,MOVE_UP,3296.0,0woHVOh3KXLSDv8VU9XwZ4
102,MOVE_DOWN,3293.0,3CA9pLiwRIGtUBiMjbZmRw
103,MOVE_DOWN,3282.0,4kWO6O1BUXcZmaxitpVUwp
104,MOVE_UP,3253.0,1uKjQoh8JZj9ryuYRhpd7E
105,MOVE_DOWN,3240.0,3swc6WTsr7rl9DqQKQA55C
106,MOVE_DOWN,3225.0,3rPAD722s5FFNnwjC91t7Z
107,SAME_POSITION,3202.0,5KgdtjmglXPjJNKvMvSjgo
108,MOVE_DOWN,3200.0,1Slwb6dOYkBlWal1PGtnNg
109,MOVE_DOWN,3196.0,1LBlcCtOrKITXpEp1hnNpj
110,MOVE_UP,3187.0,5cepAtqnEQ6yVG6088zMMu
111,MOVE_UP,3157.0,2YWgPHZSzjfkh2dPsEuaTm
112,MOVE_DOWN,3151.0,6eYxmK9fdL4hwLnXG2zY3s
113,MOVE_UP,3109.0,3iGjLTDqokSuf6yYI83wzi
114,SAME_POSITION,3109.0,1zi7xx7UVEFkmKfv06H8x0
115,MOVE_DOWN,3102.0,1RvL7eHoeUolnQbWm2Hnba
116,MOVE_DOWN,3057.0,75JFxkI2RXiU7L9VXzMkle
117,MOVE_UP,3001.0,4DnHUy01jEA4b5ydC3HgsT
118,MOVE_UP,2976.0,7o2CTH4ctstm8TNelqjb51
119,MOVE_UP,2976.0,2hl6q70unbviGo3g1R7uFx
120,MOVE_DOWN,2973.0,19MBk3PbNFE36wqIqkMq9H
121,MOVE_DOWN,2970.0,1zB4vmk8tFRmM9UULNzbLB
122,MOVE_UP,2954.0,2FrnTVSHjgnEylKGdHRUK1
123,MOVE_DOWN,2945.0,6G8kHiVZ1jW7vHMPVRNZU0
124,MOVE_DOWN,2942.0,3u1S1OmAUhx5DRlLrXqyp3
125,MOVE_DOWN,2922.0,2LsbizbOeNa4x6qsi2jAMb
126,MOVE_UP,2917.0,7BwxbmYFy0l3ROHDjV2c14
127,MOVE_DOWN,2917.0,3nc420PXjTdBV5TN0gCFkS
128,MOVE_UP,2914.0,7COfe3P7KgfwDwIRB8LIDw
129,MOVE_UP,2909.0,5ZkPBld8QqfUkS6aJG40yj
130,MOVE_UP,2884.0,3Ga6eKrUFf12ouh9Yw3v2D
131,MOVE_DOWN,2880.0,0kHyKhJMukHEPfeh8s7rdM
132,MOVE_DOWN,2860.0,48QmG1dfvMuYLxMPt7KSRA
133,MOVE_DOWN,2859.0,3S0OXQeoh0w6AY8WQVckRW
134,MOVE_DOWN,2837.0,7tFiyTwD0nx5a1eklYtX2J
135,MOVE_UP,2803.0,4h8VwCb1MTGoLKueQ1WgbD
136,MOVE_UP,2799.0,71GAvRsilpo9pqd0vYn8Mo
137,MOVE_DOWN,2799.0,6RUKPb4LETWmmr3iAEQktW
138,MOVE_DOWN,2779.0,1ISamB2lPDAeKb4Js2hLgq
139,MOVE_DOWN,2771.0,3ebXMykcMXOcLeJ9xZ17XH
140,MOVE_UP,2758.0,6kOHug1s9Nd5gsHrX8irs2
141,MOVE_UP,2738.0,7JNh1cfm0eXjqFVOzKLyau
142,MOVE_DOWN,2734.0,0CXEPVeQDLgDBfvcsQpXq1
143,MOVE_DOWN,2707.0,1juHIWqgFiDFAKuEBP24Lt
144,MOVE_DOWN,2675.0,7GX5flRQZVHRAGd6B4TmDO
145,MOVE_DOWN,2673.0,6x5LBP3nYXVdIDoomChGr3
146,MOVE_UP,2673.0,0ERbK7qVqveCaBWIiYCrl3
147,MOVE_UP,2669.0,4C1Smq2t3MVOPzsUPWW0oX
148,MOVE_DOWN,2662.0,7BKLCZ1jbUBVqRi2FVlTVw
149,MOVE_DOWN,2654.0,2jyjhRf6DVbMPU5zxagN2h
150,MOVE_UP,2639.0,5hEM0JchdVzQ5PwvSfITeX
151,SAME_POSITION,2635.0,7gHs73wELdeycvS48JfIos
152,MOVE_UP,2619.0,76KDy62J99FKu6ZsxMJy3j
153,MOVE_DOWN,2568.0,6fxVffaTuwjgEk5h9QyRjy
154,MOVE_UP,2549.0,7DhYjNLksXZhbRQeheAums
155,MOVE_UP,2546.0,0u2P5u6lvoDfwTYjAADbn4
156,MOVE_UP,2535.0,5u5MvmVtitax9R1Mxh3reC
157,MOVE_UP,2523.0,2Q85xwXagilpHKTfdrbC7M
158,MOVE_DOWN,2503.0,3GVkPk8mqxz0itaAriG1L7
159,MOVE_UP,2491.0,5q2JbCNi4FcnglgPfxcV65
160,MOVE_UP,2454.0,3CRDbSIZ4r5MsZ0YwxuEkn
161,MOVE_DOWN,2440.0,2K2YkSn2utzsRntEClbyB8
162,MOVE_UP,2433.0,21YnmkSDhUkmkkni22Svc4
163,MOVE_DOWN,2427.0,0xXhgLXfEHnWJHVgRvFvdn
164,MOVE_UP,2423.0,1RouRzlg8OKFeqc6LvdxmB
165,SAME_POSITION,2423.0,4l3xGFwoTinvYxsePytOOf
166,MOVE_UP,2423.0,0KKkJNfGyhkQ5aFogxQAPU
167,MOVE_UP,2417.0,6Q4foUefrAyCt8VxJFML56
168,MOVE_UP,2417.0,31M5m42C3EGlbydf9XB5to
169,MOVE_UP,2410.0,09IStsImFySgyp0pIQdqAc
170,NEW_ENTRY,2406.0,0atfY1ew83Ql9nNnJiD2t5
